label,smiles
257,CC(C)n1nc(C#Cc2cccc3cc(-c4cccc(C(F)(F)F)c4)ncc23)c2c(N)ncnc21
13,CC(C)c1nn(C)cc1-c1nc2cc(Br)cnc2[nH]1
469,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(-c4cnco4)cc32)cc1
463,NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1
460,O=C(O)C(F)(F)F.O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Cc5ccccc5)cc4)c3s2)C1)N1CCOCC1
460,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)cc2[nH]1.Cl
468,COc1ccc2[nH]c3c4[nH]c5ccc(OC)cc5c4c4c(c3c2c1)C(=O)NC4=O
500,CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)cc2)NC(=O)N1
462,O=C1Nc2ccccc2/C1=C1\CCc2cc(O)ccc21
464,NC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccncc2)c1N
97,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1
471,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN3CCCC3)cc21
588,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12
467,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1
530,Cn1sc(=O)n(Cc2ccccc2)c1=O
267,O=c1[nH]c2ncc(-c3ccc(-c4nc[nH]n4)cc3)nc2n1CCC1CCOCC1
407,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C
3,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(Br)cccc32)\Nc2ccccc2\1
530,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C
461,Nc1nccc(-c2c(-c3ccc(F)cc3)nn3cc(C(F)(F)F)ccc23)n1
709,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2
5,COCCO[C@H]1CN(CC(=O)Nc2ccc(Sc3nc(Nc4cc(C)[nH]n4)c4cccn4n3)cc2)C[C@@H]1O
114,c1nc(N2CCOCC2)c2nc[nH]c2n1
490,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3cc(Br)ccc3c21
525,Cc1nc(C2CCN(C(=O)c3ccc(OC(F)(F)F)cc3N)CC2)c2ncc(N3CCN(C)CC3)cc2n1
466,CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1
258,Cc1nccc2c1[nH]c1ccccc12
480,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
548,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1
468,O=C1Nc2ccc(Br)cc2/C1=C\c1cc2c([nH]1)CCCC2
