label,smiles,groups
-0.5697145,CC(O)C(N)=O,0
1.5469385,CC(N)C(=O)O,0
1.0326116,NCC(=O)O,1
-0.17407843,NC(=O)CO,1
1.5667204,CC(C)CC(N)C(=O)O,2
-0.93844736,CC(O)CC(=O)N(C)C,2
1.5865022,CC(C)C(N)C(=O)O,3
-0.6532926,CC(O)C(C)C(N)=O,3
1.4974841,CCC(C)C(N)C(=O)O,4
-0.7633784,CC(O)C(C)CC(N)=O,4
1.3293387,CSCCC(N)C(=O)O,0
-0.31255105,CSCCC(O)C(N)=O,0
0.7161028,O=C(O)C1CCCN1,1
-0.67910784,NC(=O)C1CCCO1,1
1.5172658,NC(Cc1c[nH]c2ccccc12)C(=O)O,2
0.4688302,NC(=O)C(O)Cc1c[nH]c2ccccc12,2
1.0326116,NC(CO)C(=O)O,3
-0.37189648,NC(=O)C(O)CO,3
1.7249748,NC(Cc1ccc(O)cc1)C(=O)O,4
0.22155766,NC(=O)C(O)Cc1ccc(O)cc1,4
1.2897751,NC(Cc1ccccc1)C(=O)O,0
-0.09495121,NC(=O)C(O)Cc1ccccc1,0
-0.23342384,NC(=O)C(O)Cc1c[nH]cn1,1
1.4480295,NC(Cc1c[nH]cn1)C(=O)O,1
-1.4598957,COC(=O)c1ccccc1,2
-0.5697145,O=C(O)Cc1ccccc1,2
-0.30266017,COC(=O)c1ccc(Cl)cc1,3
-0.9158961,O=C(O)Cc1ccc(Cl)cc1,3
-0.5697145,O=C(O)Cc1cccc(Cl)c1,4
-1.123605,COC(=O)c1cccc(Cl)c1,4
-1.1631687,COC(=O)c1ccccc1Cl,0
-0.4015692,O=C(O)Cc1ccccc1Cl,0
-0.29276925,O=C(O)Cc1ccccc1Br,1
-1.024696,O=C(O)Cc1ccccc1Br,1
-1.0444778,COC(=O)c1cccc(Br)c1,2
-0.34222376,O=C(O)Cc1cccc(Br)c1,2
-0.16418752,O=C(O)Cc1ccc(Br)cc1,3
-0.5894963,COC(=O)c1ccc(Br)cc1,3
-0.5004782,O=C(O)Cc1ccc(F)cc1,4
-1.407276,COC(=O)c1ccc(F)cc1,4
0.65675735,NCCCC(=O)O,0
-0.77742344,NC(=O)CCCO,0
1.2699933,CC(N)CCC(=O)O,1
-0.6785144,CC(O)CCC(N)=O,1
1.1611934,CC(CN)CC(=O)O,2
-0.70818716,CC(CO)CC(N)=O,2
-0.619169,CC(CCO)C(N)=O,3
1.2699933,CC(CCN)C(=O)O,3
-0.55982363,CC(CO)C(C)C(N)=O,4
1.3095568,CC(CN)C(C)C(=O)O,4
0.68643004,NCCC(=O)O,0
-0.74775076,NC(=O)CCO,0
1.2699933,CCC(N)CC(=O)O,1
-0.7576417,CCC(O)CC(N)=O,1
1.2403206,CCC(CN)C(=O)O,2
-0.69829625,CCC(CO)C(N)=O,2
1.5073749,NCC(C(=O)O)c1ccccc1,3
-0.08506031,NC(=O)C(CO)c1ccccc1,3
0.83479357,NC(CC(=O)O)c1ccccc1,4
-0.09495121,NC(=O)CC(O)c1ccccc1,4
0.09297593,O=C(O)Cc1cccc2ccccc12,0
-1.0543687,COC(=O)c1cccc2ccccc12,0
-2.3896406,COCCCOC,1
-1.4598957,OCCCCCO,1
-1.4759189,Nc1ccco1,2
-0.86980444,O=C1C=CCN1,2
-0.6389508,COC(=O)c1ccc2ccccc2c1,3
0.073194124,O=C(O)Cc1ccc2ccccc2c1,3
1.6161748,NC(C(=O)O)c1ccc2ccccc2c1,4
0.31057578,NC(=O)C(O)c1ccc2ccccc2c1,4
